Publication Year,Author,Title,Journal,DOI,Url,Abstract Note,单位
2024,余芙蓉; 马洁稚; 周希; 李根林; 彭嘉琪; 李萍; 曾飞; 谢小兵; 董巍檑,女性阴道自采样本检测PAX1/JAM3双基因甲基化标志物作为子宫颈癌筛查的可行性评估,中华检验医学杂志,10.3760/cma.j.cn114452-20240109-00016,https://rs.yiigle.com/cmaid/1499262,目的 探讨女性自采样本进行配对盒基因1（PAX1）/结合连接黏附分子 3（JAM3）双基因甲基化检测在子宫颈癌筛查与绝经前后女性分层管理的应用价值。方法 单中心横断面研究。2023年1—11月在阴道镜门诊同时收集女性自采样本及医生采样样本，分别进行PAX1/JAM3双基因甲基化（PAX1 /JAM3 ）检测，以组织病理学为标准。总计招募301例接受阴道镜检查女性，并对272例有组织病理与检测信息的女性进行统计分析。通过Spearman相关性分析和χ2检验比较两种采样方法PAX1 /JAM3 检测结果的一致性。通过计算受试者操作特征曲线（ROC）和曲线下面积（AUC）比较女性自采样本甲基化检测与现行临床检测及其组合方法在临床研究中用于子宫颈癌筛查的效益。 结果 在所有招募的受试者中，正常子宫颈组织或慢性子宫颈炎102例（37.5%）、子宫颈上皮内瘤变1级（CIN1）72例（26.4%）、CIN2 43例（15.8%）、CIN3 29例（10.7%）、子宫颈癌26例（9.6%）。按最低检出量公式计算区分成为81例一致性研究组和191例临床研究组。Spearman相关性分析表明，自采样本和医生采样样本进行PAX1和JAM3双基因甲基化检测结果的卡氏评分呈正相关（ =0.858、0.828， 均<0.001）；自采样本在临床研究中结果显示PAX1 /JAM3 检测诊断CIN2或更严重病变（CIN2+）的敏感度和特异度分别为77.6%（ 65.3%~86.4%）和87.2%（95% 80.5%~91.9%），PAX1 /JAM3 联合人乳头瘤病毒16/18型（HPV16/18）检测的敏感度与高危人乳头瘤病毒（hrHPV）检测相同为89.7%（95% 79.2%~95.2%）；在CIN3+时为96.0%（95% 80.4%~99.3%），优于hrHPV的92.0%（95% 75.0%~97.8%）、细胞学的82.6%（95% 62.9%~93.0%）及sPAX1 /JAM3 联合细胞学检测低度及以上鳞状上皮内病变（LBC ）［87.0%（95% 67.9%~95.5%）］。 结论 女性自采样本进行PAX1与JAM3双基因甲基化检测作为子宫颈癌筛查具有操作与临床可行性。,南华大学附属第一医院
2026,何倩楠; 黄子杰,PAX1/JAM3双基因联合甲基化检测在宫颈病变管理中的研究进展,国际妇产科学杂志,10.12280/gjfckx.20251474,https://www.gjfckx.ac.cn/CN/abstract/abstract2843.shtml,【摘 要】表观遗传学标志物在宫颈癌精准筛查中的应用价值日益凸显。其中配对盒基因1（paired box gene 1，PAX1）和连接黏附分子3（junctional adhesion molecule 3，JAM3）的异常甲基化作为宿主细胞癌变过程中的关键表观遗传事件，能够客观反映宫颈上皮细胞的异常转化状态，成为宫颈癌早期诊断的生物标志物。PAX1通过抑制Wnt/β-联蛋白（β-catenin）等多条致癌通路发挥抑癌作用，其甲基化是癌变早期敏感指标；JAM3与上皮屏障功能及肿瘤侵袭转移密切相关，甲基化水平随病变进展显著升高。二者联合甲基化检测具有较高的敏感度和特异度，显著优于传统细胞学方法，不仅能实现早期精准识别，还可有效分流人乳头瘤病毒初筛阳性者，减少不必要的阴道镜转诊，且该检测适用于“自采样”模式，有利于提升基层及资源有限地区的筛查可及性。此外，PAX1/JAM3联合甲基化检测还能预测宫颈锥切术后病理升级风险，指导个体化治疗决策。未来需通过多中心、大样本临床研究进一步确立PAX1/JAM3甲基化的标准化界值（cut-off值），该联合检测有望作为核心技术整合入宫颈癌筛查指南，推动宫颈癌筛查由“群体普查”向“个体化精准防控”模式重大转变。,联勤保障部队第九四〇医院妇科
2025,周敏; 左娟; 周戴; 陈丹; 侯达,宫颈脱落细胞PAX1、JAM3基因甲基化对宫颈上皮内瘤变预测作用的初步研究,湖南师范大学学报医学版,,https://yxb.hunnu.edu.cn/CN/Y2025/V22/I6/123,"目的 评估宫颈脱落细胞配对盒家族1（paired box1,PAX1）和连接黏附分子3（junctional adhesion molecule 3,JAM3）基因甲基化作为联合生物标志物对高级别宫颈上皮内瘤变（cervical intraepithelial neoplasia,CIN）的预测效能。方法 本研究纳入2023年7月至2024年12月在长沙市妇幼保健院同时接受人乳头瘤病毒（human papillomavirus, HPV）分型、液基细胞学（thinprep cytologic test,TCT）、PAX1和JAM3基因甲基化检测和阴道镜病理检查的受试者（n=144）。采用甲基化特异性PCR对宫颈细胞中PAX1和JAM3基因的甲基化水平进行定量检测,并将HPV分型结果与两基因甲基化（二分类变量）纳入联合预测与判别分析模型。结果 在病理确诊的CIN2+（n=16）患者中,PAX1和JAM3基因甲基化阳性率分别为68.8%和56.3%,显著高于CIN1组（6.4%、6.4%）和慢性宫颈炎组（1.2%、1.2%）（P<0.001）。在高危型HPV感染者中,甲基化阳性者进展为CIN2+的优势比（OR）为6.32（95%CI：3.45~11.28）。联合模型显示,当HPV16/18阳性且任一基因甲基化阳性时,CIN2+的阳性预测值为96.9%（95%CI：82.4~94.3）,且F1值显著优于单一HPV检测（59.1%）（P<0.01）。结论 PAX1/JAM3双基因甲基化联合HPV分型检测可显著提升CIN2+的早期识别能力（AUC=0.8789）,为临床决策提供了可靠依据,并有望为细胞学结论不确定病例的分流管理提供更为明确的建议。",长沙市妇幼保健院
2026,刘勋姣; 玉秀美,宫颈脱落细胞基因甲基化检测对宫颈高级别病变术后残留及复发风险的预测意义,中文科技期刊数据库（引文版）医药卫生,,https://lib.cqvip.com/Qikan/Article/Detail?id=1000004574041,探讨宫颈脱落细胞PAX1、JAM3基因甲基化检测对宫颈高级别病变（HSIL）术后残留及复发风险的预测价值。方法 选取2023年1月至2024年12月桂林市妇幼保健院收治的120例宫颈高级别病变患者，均接受宫颈锥切术治疗。术前采集宫颈脱落细胞样本，采用甲基化特异性PCR（MSP）技术检测PAX1、JAM3基因甲基化状态。术后随访12个月，记录术后残留及复发情况，分析基因甲基化状态与术后不良结局的相关性，评估其预测效能。结果 120例患者中，PAX1、JAM3基因甲基化阳性率分别为51.67%、43.33%；单一基因甲基化阳性42例，双基因甲基化阳性23例，总甲基化阳性率为54.17%。术后随访12个月，共发现残留13例、复发9例，总不良结局发生率为18.33%。多因素Logistic回归分析显示，PAX1基因甲基化（OR=5.892，95%CI：1.985～17.596，P=0.001）及双基因联合甲基化（OR=8.654，95%CI：2.783～26.927，P＜0.001）是术后残留及复发的独立危险因素，JAM3基因甲基化无统计学意义（P＞0.05）。PAX1、JAM3双基因联合检测预测术后不良结局的灵敏度、特异度、阳性预测值、阴性预测值分别为91.30%、45.38%、30.23%、94.29%，曲线下面积（AUC）为0.765，高于单一基因检测。结论 宫颈脱落细胞PAX1、JAM3基因甲基化与宫颈高级别病变术后残留及复发密切相关，其中PAX1基因甲基化及双基因联合甲基化是术后不良结局的独立危险因素。双基因联合甲基化检测具有较高的灵敏度和阴性预测值，可作为宫颈高级别病变术后残留及复发风险的有效预测指标。,桂林市妇幼保健院
2026,"Geng, Tongyao; Li, Sijia; Bian, Yanan; Li, Xiaodong; Bian, Yahui","Association of PAX1/JAM3 gene methylation, HR-HPV, and TCT with high-grade cervical lesions in a high-risk cohort: a multinomial logistic regression analysis",BMC women's health,10.1186/s12905-026-04622-9,,"OBJECTIVE: To investigate the risk factors associated with pathological progression of cervical lesions, specifically focusing on high-risk human papillomavirus (HR-HPV) infection, ThinPrep Cytologic Test (TCT), and PAX1/JAM3 gene methylation in a high-risk colposcopy-referred cohort. METHODS: A total of 409 patients who underwent colposcopy-directed biopsy at the First Hospital of Hebei Medical University between January, 2023 and April, 2025 due to abnormal TCT results, HR-HPV infection, or positive PAX1/JAM3 gene methylation were analyzed. The sensitivities of different methods were compared, and unordered multivariate logistic regression was used to analyze the risk factors for high-grade cervical lesions and pathological progression. RESULTS: Univariate analysis demonstrated that age, gravidity, age at first sexual intercourse, number of sexual partners, menopausal status, HR-HPV infection, TCT results, and PAX1/JAM3 methylation were significantly associated with pathological grade (all P?<?0.05). In the multinomial regression analysis, compared to the inflammation group, both other high-risk HPV (OR?=?3.930) and very-high-risk (16/18) HPV infections (OR?=?3.725), as well as non-NILM TCT (OR?=?2.435), were significantly associated with an increased risk of LSIL. For the progression to HSIL, very-high-risk HPV (OR?=?6.801), non-NILM TCT (OR?=?2.399), positive PAX1 methylation (OR?=?4.145), and positive JAM3 methylation (OR?=?8.215) were identified as strong independent risk factors. CONCLUSION: In a high-risk colposcopy-referred cohort, HR-HPV infection, non-NILM TCT results, and positive PAX1/JAM3 gene methylation are independently associated with the presence of high-grade cervical lesions. These biomarkers have the potential to enhance clinical risk stratification and inform decision-making in cervical cancer screening. However, their clinical utility and cost-effectiveness need to be further evaluated through larger, prospective studies to validate their role in routine clinical practice.",First Hospital of Hebei Medical University
2026,"He, Peixuan; Wang, Yishan; Xie, Nian; Liu, Chengniang; Liu, Pei; Wang, Linhai; Yin, Suyue; Zhou, Shunxian; Cai, Haiyi; Fu, Chun",Diagnostic Accuracy and Concordance of Self-Collected Cervical CDO1 and CELF4 Methylation Testing Compared With Physician Sampling for Endometrial Cancer Detection,JCO Precision Oncology,10.1200/PO-25-01081,https://ascopubs.org/doi/10.1200/PO-25-01081,"PURPOSE To address the growing incidence of endometrial cancer (EC), noninvasive detection methods are needed. Although self-sampling is proven for cervical cancer screening, its utility for EC detection via methylation analysis lacks robust evidence. This study aimed to validate this approach by evaluating the concordance and diagnostic accuracy of CDO1/CELF4 methylation testing in self-collected samples compared with clinician-collected samples.",The Second Xiangya Hospital of Central South University
2023,"Qi, Bingli; Sun, Ye; Lv, Yaohua; Hu, Pei; Ma, Yanli; Gao, Wenying; Li, Shumei; Zhang, Xin; Jin, Xitong; Liou, Yuligh; Liu, Pei; Liu, Shikai",Hypermethylated CDO1 and CELF4 in cytological specimens as triage strategy biomarkers in endometrial malignant lesions.,Frontiers in oncology,10.3389/fonc.2023.1289366,,"OBJECTIVE: Developing a non-invasive and reliable triage test for endometrial malignant lesions is an important goal, as it could help to reduce the number of  invasive diagnostic procedures required and improve patient survival. We aimed to  estimate the diagnostic value of DNA methylation levels in cervical cytological  samples of endometrial cancer (EC) and endometrial atypical hyperplasia (AH).  METHODS: A total of 607 women who had indications for endometrial biopsy in the  Department of Obstetrics and Gynecology of Cangzhou Central Hospital from October  2022 to April 2023 were enrolled in this study. The cervical exfoliated cells  were collected for gene methylation before endometrial biopsy. Clinical  information, tumor biomarkers, and endometrial thickness (ET) of transvaginal  ultrasonography (TVS) were also collected. With endometrial histopathology as the  gold standard, multivariate unconditional logistic regression was applied to  analyze the risk factors of endometrial malignant lesions. The role of cysteine  dioxygenase type 1 (CDO1) and CUGBP Elav-like family member 4 (CELF4) gene  methylation as a triage strategy biomarker in endometrial malignant lesions was  specifically explored. RESULTS: Multivariate logistic regression analysis showed  that premenopausal ET >/= 11 mm or postmenopausal ET >/= 5 mm, CDO1 DeltaCt </= 8.4, or  CELF4 DeltaCt </= 8.8 were the risk factors for AH and EC, with odds ratios (ORs)  (95%CI) of 5.03 (1.83-13.82) and 6.92 (1.10-43.44), respectively (p-values <  0.05). The sensitivity and specificity of CDO1/CELF4 dual-gene methylation assay  for AH and EC reached 84.9% (95%CI: 75.3%-94.5%) and 86.6% (95%CI: 83.8%-89.5%),  respectively. ET combined with DNA methylation detection further improved the  specificity to (94.9%, 95%CI: 93.1%-96.8%). CONCLUSION: The accuracy of cervical  cytology DNA methylation is superior to that of other clinical indicators in the  non-invasive examination of endometrial malignant lesions. DNA methylation  combined with TVS can further improve the specificity and is a promising  biomarker triage strategy in women with suspected endometrial lesions.",Cangzhou Central Hospital
2024,"Cai, Bingxin; Du, Jun; Wang, Yishan; Liu, Zhijie; Wang, Yan; Li, Liuyu; Liu, Pei; Wang, Linhai; Liu, Qing; Meng, Zhaoyan",The endometrial cancer detection using non-invasive hypermethylation of CDO1 and CELF4 genes in women with postmenopausal bleeding in Northwest China,CytoJournal,10.25259/Cytojournal_78_2023,,"OBJECTIVE: The objective of this study was to verify the clinical predictive performance of methylated cysteine dioxygenase type 1 (CDO1m) and CUGBP Elav-like family member 4 (CELF4m) in endometrial cancer (EC) women with postmenopausal bleeding (PMB). MATERIAL AND METHODS: A single-center, prospective, and case-control study was conducted in the Gansu Provincial Maternity and Child-care Hospital with 138 female postmenopausal patients enrolled in 2022. All patients underwent body mass index (BMI) detection, transvaginal ultrasonography (TVUS) detection, carbohydrate antigen 125 detection, and the cervical exfoliated cell CDO1/CELF4 gene methylation detection to analyze the sensitivity, specificity, and accuracy of different screening tests statistically with the biopsy and/or dilation and curettage (D&C) pathological diagnosis under hysteroscopy as the gold standard. RESULTS: There was no significant difference in age between the EC group and the non-EC group, P = 0.492. Using quantitative polymerase chain reaction (qPCR) technology, we validated the CDO1 and CELF4 methylation detection with 87.5% sensitivity and 95.9% specificity as a useful strategy for the triage of women with PMB for the detection of EC. In addition, 100% of type II EC (n = 6) were positively detected by the CDO1 or CELF4 methylation test. CONCLUSION: The CDO1 and CELF4 methylation test with high specificity as an auxiliary diagnostic tool or alternative method provides physicians with a reference to distinguish between benign and malignant tumors in women with postmenopausal bleeding, to justify the necessity of using invasive methods to confirm diagnosis.",Gansu Provincial Maternity and Child-care Hospital
2025,"Lee, Ho-Sze Jacqueline; Wu, Shiye; Yeung, Suet-Ying; Cheung, Chun-Wai; Fung, Wen-Ying Linda; Kwok, Pui-Kei Sonia; Yung, Kar-Kei; Wong, Tsz-Kei Sani; Kanneganti, Abhiram; Lau, Tat-San",Prospective Evaluation of Cervical Scrapings CDO1 and CELF4 Methylation (epiHERA?) Assay in Detection of Endometrial Cancer,Cancers,10.3390/cancers17183010,,"Background/Objectives: Our study evaluates the performance of the CDO1 and CELF4 methylation assay of cervical scrapings in diagnosing endometrial cancer. Methods: Patients referred for abnormal uterine bleeding, suspected endometrial pathology on imaging, endometrial hyperplasia, or cancer, who were indicated for endometrial sampling +/- hysteroscopy +/- hysterectomy, were recruited prospectively from the gynecology clinic of Prince of Wales Hospital, Hong Kong, from January 2023 to November 2024. Methylation assay was performed on the cervical scrapings of the participants, with the results compared to endometrium histology obtained on the same day. Results: Methylation assay results of 675 patients were compared to 629 outpatient endometrial assessments and 46 hysterectomy histology. The assay yields an accuracy of 97.3%, sensitivity of 84.1%, specificity of 98.8%, PPV of 89.2%, and NPV of 98.2%. The AUC is 0.92 with a Kappa coefficient of 0.85. The false-negative rate was 0.8% among the 629 endometrial assessment cases. Endometrial thickness, abnormal cervical cytology, and endometrial hyperplasia significantly affected the accuracy. Among seven false-positive cases, five had endometrial hyperplasia and two had cervical intraepithelial neoplasia. Eventually, three patients were diagnosed with endometrial cancer and one with cervical cancer 1 to 4 months later. Conclusions: Methylation assay of cervical scrapings is highly accurate in diagnosing endometrial cancer with a high sensitivity, specificity, and low false-negative rate. It can act as a triage to reduce invasive endometrial assessment. All false-positive cases were related to neoplastic processes in the genital tract, indicating that it may be useful for detecting cancer early, before histological change is evident.",The Chinese University of Hong Kong
2026,"Cai, Bingxin; Wang, Yishan; Ma, Wen; Wu, Zhenzhen; Yao, Tingting; Liu, Pei; Wang, Linhai; Zhou, Pingping; Li, Yilin",Validation of a cervical CDO1/CELF4 methylation test for endometrial cancer: a prospective paired-sample comparison with intrauterine specimen,Frontiers in Medicine,10.3389/fmed.2026.1690020,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1690020/full,"BackgroundThe increasing global incidence of endometrial cancer (EC) underscores the urgent need for effective early detection. Noninvasive detection approaches, such as transvaginal ultrasonography (TVS), frequently exhibit low specificity, leading to a high rate of unnecessary invasive procedures. DNA methylation analysis has emerged as a promising noninvasive alternative. This study aimed to validate CDO1/CELF4 gene methylation analysis for detecting endometrial intraepithelial neoplasia (EIN) and EC and, critically, to compare its diagnostic efficacy using noninvasive cervical brushing cells (CBCs) vs. invasive diagnostic curettage (D&C) samples.MethodsA prospective paired-samples study was conducted at Gansu Provincial Maternity and Child Care Hospital (July 2023–June 2024), including 226 eligible women. CBC and D&C samples were collected sequentially from each participant and tested for CDO1/CELF4 methylation, with diagnostic performance and consistency compared between sample types.ResultsAmong 226 participants, 31 were diagnosed with EIN or EC. Compared with conventional markers (cytology, endometrial thickness, and CA125 levels), individual CDO1, CELF4, and CISENDO (CDO1/CELF4) methylation tests from both CBC and D&C samples demonstrated superior diagnostic capabilities. Specifically, the ΔCt values of CDO1 and CELF4 were significantly lower in patients with EIN or EC than in those with benign lesions (P < 0.0001 for all comparisons). A strong positive correlation was observed between CBC and D&C samples for individual methylated CDO1 tests (R = 0.86) and CELF4 tests (R = 0.78), suggesting a high agreement. ROC analysis confirmed no statistically significant difference in diagnostic accuracy between CBC and D&C samples for the CISENDO test (P = 0.244). The CISENDO test achieved an AUC of 0.929, with 93.5% sensitivity and 92.3% specificity using D&C samples, and an AUC of 0.916 with CBC samples when using manufacturer-recommended cutoff.ConclusionCDO1/CELF4 methylation analysis in cervical brushing samples is a highly accurate and reliable method for detecting EC and precursors, and no statistically significant difference in efficacy was observed compared to that of endometrial tissue tests. Its noninvasive nature can overcome significant diagnostic barriers, holding considerable promise as an effective triage tool for high-risk or symptomatic women, potentially revolutionizing early detection of EC and improving patient outcomes.",Gansu Provincial Maternity and Child-care Hospital
2026,"Wang, Xiuzhen; Zheng, Lang; Zhu, Genhai; Wang, Shengtan; Li, Wei; Liu, Jun; Gao, Haocheng; Liu, Xiaohang; Li, Guifei; Li, Lei; Hong, Lan",CDO1 and CELF4 methylation assay as the dominant predictor of endometrial cancer: A cohort analysis across pre- and post-menopausal cohorts,Gynecologic Oncology,10.1016/j.ygyno.2026.01.776,https://linkinghub.elsevier.com/retrieve/pii/S0090825826007808,,Hainan General Hospital (Hainan Affiliated Hospital of Hainan Medical University)
2023,赵行平; 徐大宝; 马洁稚; 傅英钦; 李斌玉; 靳希桐; 刘禹利; 刘沛,DNA甲基化检测在育龄期异常子宫出血女性子宫内膜癌诊断中的应用价值,中华检验医学杂志,10.3760/cma.j.cn114452-20221110-00670,https://rs.yiigle.com/cmaid/1456400,目的 探讨应用宫颈脱落细胞DNA（半胱氨酸双加氧酶1型，和CUGBP Elav样家族成员4，）甲基化检测育龄期女性子宫内膜癌的应用价值。方法 选取2021年11月至2022年10月就诊于中南大学湘雅三医院妇科异常子宫出血的育龄期、有宫腔镜检查手术指征的女性517例进行前瞻性研究，术前收集宫颈脱落细胞进行细胞学、人类乳头瘤病毒（HPV）和DNA甲基化检测。同时收集患者基本临床信息、生物标记物与经阴道超声（TVS）子宫内膜厚度等信息。以宫腔镜下内膜组织病理学诊断为金标准，采用单因素Logistic回归分析子宫内膜癌的高危因素，利用受试者工作特征曲线下面积（AUC）分析DNA甲基化检测对育龄期女性子宫内膜癌的检测效能。结果 年龄、体重指数（BMI）≥25 kg/m、内膜厚度≥11 mm、ΔCt≤8.4、ΔCt≤8.8、双基因甲基化与年轻女性子宫内膜癌的发生相关，值（95%）分别为1.16（1.08~1.25）、4.33（1.89~10.31）、9.49（3.88~26.69）、69.62（25.70~224.36）、23.64（9.66~63.99）、87.39（24.83~555.05），均<0.05。在这些检测方案中，/甲基化诊断子宫内膜癌的AUC最高为0.90（95% 0.83~0.97），其敏感度、特异度分别为91.7%（95% 80.6%~100%）和88.8%（95% 86.0%~91.6%）。TVS联合DNA甲基化检测可进一步提高敏感度至95.8%（95% 87.8%~100%），但特异度为68.0%（95% 63.8%~72.1%）。结论 对于育龄期女性中异常子宫出血或阴道异常排液的女性，宫颈细胞学DNA甲基检测子宫内膜癌的准确性优于其他无创临床方案。DNA甲基化联合TVS可以改善检测的敏感性。,中南大学湘雅三医院
2026,"Yu, Yi; Su, Tingting; Zhang, Hongwei; Li, Qing; Cong, Qing; Sui, Long; Chen, Limei",Clinical Validation of DNA Methylation Detection in Cervical Exfoliated Cells for Endometrial Cancer in Women with Suspected Lesions,Diagnostics,10.3390/diagnostics16020174,,"Background/Objectives: Currently, no non-invasive detection method for endometrial cancer (EC) is recommended in clinical practice worldwide. This study aimed to evaluate the clinical value of detecting DNA methylation of CDO1 and CELF4 (CDO1m/CELF4m) in exfoliated cervical cells for the detection of EC in women with suspected endometrial lesions. Methods: A total of 2164 patients scheduled for hysteroscopic surgery due to suspected endometrial lesions at the Obstetrics and Gynecology Hospital of Fudan University between July 2023 and May 2024 were prospectively enrolled. Preoperative exfoliated cervical cells were collected for dual-gene methylation testing. Clinical data and endometrial thickness measured by transvaginal sonography (TVS) were recorded. Hysteroscopic histopathological diagnosis served as the gold standard to evaluate the performance of methylation testing alone and in combination with TVS. Results: This study included 2164 patients, comprising 33 EC cases, 31 cases of endometrial intraepithelial neoplasia (EIN), and 2100 cases of non-endometrial lesions, with mean ages of 51.7 ± 6.4, 49.5 ± 8.9, and 44.7 ± 9.8 years, respectively (p < 0.001). For EC detection, CDO1m/CELF4m positivity showed a sensitivity of 93.94% (95% CI: 79.77-99.26%), specificity of 96.7% (95% CI: 95.92-97.47%), positive predictive value (PPV) of 31.0% (95% CI: 25.96-36.53%), and negative predictive value (NPV) of 99.90% (95% CI: 99.63-99.98%). For EIN detection, the sensitivity was 83.87%, specificity 97.95%, PPV 37.68%, and NPV 99.76%. Combining TVS with DNA methylation detection further improved the sensitivity and NPV for both EC and EIN detection. Conclusions: DNA methylation detection in exfoliated cervical cells demonstrates high sensitivity and specificity for EC detection. The combination with TVS further enhances sensitivity and NPV, offering a simple and non-invasive triage strategy for patients with suspected endometrial lesions. This study was registered in China Clinical Trial Registry (ChiCTR2200055991) on 30 January 2023.",Obstetrics & Gynecology Hospital of Fudan University
2024,"Zhao, Xingping; Yang, Yanfei; Fu, Yinqin; Lv, Weigang; Xu, Dabao",DNA methylation detection is a significant biomarker for screening endometrial cancer in premenopausal women with abnormal uterine bleeding,International Journal of Gynecological Cancer: Official Journal of the International Gynecological Cancer Society,10.1136/ijgc-2024-005723,https://ijgc.bmj.com/content/early/2024/07/23/ijgc-2024-005723,"OBJECTIVE: The aim of our study was to explore the value of DNA (CDO1m/CELF4m) methylation detection in exfoliated cervical cells collected for screening endometrial cancer in premenopausal women with abnormal uterine bleeding. METHODS: A total of 296 premenopausal women with abnormal uterine bleeding admitted to the Department of Obstetrics and Gynecology at the Third Xiangya Hospital of Central South University from November 2021 to October 2022 were selected. Clinical characteristics, endometrial thickness measured by transvaginal ultrasound and serum CA125 were collected. Exfoliated cervical cells from the thinPrep cytogic test were collected for DNA (CDO1m/CELF4m) methylation testing. Endometrial tissue was collected under hysteroscopy for pathological diagnosis as the gold standard. A univariate logistic regression model was used to analyze risk factors for endometrial cancer. The receiver operating characteristic (ROC) curve and area under the curve (AUC) were used to measure the diagnostic efficacy of DNA methylation detection in endometrial cancer screening of women with abnormal uterine bleeding. RESULTS: Univariate logistic regression analysis showed that age, body mass index (BMI) ≥25?kg/m2, endometrial thickness ≥11?mm, CDO1 methylation (CDO1mΔCt≤8.4), CELF4 methylation (CELF4mΔCt≤8.8), and dual gene methylation (CDO1mΔCt≤8.4?or CELF4mΔCt≤8.8) were independent risk factors for endometrial cancer in women with abnormal uterine bleeding. The odds ratio (OR) values (95%?confidence interval (CI) were 0.87 (0.80-0.95), 4.76 (1.89-11.96), 8.41 (3.13-22.59), 64.49 (20.46-203.33), 12.79 (4.91-33.30), and 42.53 (11.90-152.04), respectively. Among these indicators, dual gene methylation had the higher sensitivity and specificity for endometrial cancer screening (85.7% and 87.6%). Moreover, dual gene methylation combined with BMI or endometrial thickness could further improve the screening efficiency of endometrial cancer in women with abnormal uterine bleeding. CONCLUSIONS: In premenopausal women with abnormal uterine bleeding, the clinical efficacy of DNA (CDO1m/CELF4m) methylation detection in exfoliated cervical cells for endometrial cancer screening was better than that of other noninvasive clinical indicators. In addition, dual gene methylation combined with BMI or endometrial thickness was a good predictor of endometrial cancer screening.","the Third Xiangya Hospital, Central South University"
2024,蔡炳昕; 李浏钰; 刘博; 刘沛; 王林海; 王义山; 刘禹利; 王紫芸; 杜珺,禾蔻安双基因甲基化检测在子宫内膜癌筛查中的应用价值,兰州大学学报（医学版）,10.13885/j.issn.1000-2812.2024.07.004,https://d.wanfangdata.com.cn/periodical/lanzyxyxb202407004,"目的 探讨禾蔻安双基因(CDO1和CELF4)甲基化检测在异常子宫出血患者中子宫内膜癌筛查的应用价值.方法 选取2021年7月—2022年6月因异常子宫出血就诊于甘肃省妇幼保健院宫腔镜门诊的患者216例,收集宫颈脱落细胞进行双基因甲基化检测,同时收集患者基本信息、肿瘤生物学标记物与子宫内膜厚度等.以宫腔镜下子宫内膜组织病理学诊断为金标准,分析禾蔻安双基因甲基化检测对异常子宫出血女性中子宫内膜癌检出的敏感性与特异性.结果 单因素分析中,年龄(P=0.001)、体重指数(BMI,P=0.002)、糖尿病(P=0.012)、绝经(P<0.001)、CDO1和CELF4甲基化(均P<0.001)对判断是否罹患子宫内膜癌的差异有统计学意义.二元Logistic回归分析结果显示,BMI的比值比(OR)为3.970(95%CI:[1.058,14.895],P=0.041),绝经的OR为18.702(95%CI:[1.847,189.370],P=0.013),CDO1、...",甘肃省妇幼保健院
2023,孔令华; 肖晓萍; 万茹; 钞晓培; 陈晓静; 王婧; 吴焕文; 李雷,DNA甲基化检测在绝经后女性子宫内膜癌筛查中的应用价值,中华医学杂志,,https://qikan.cqvip.com/Qikan/Article/Detail?id=00523JLXMFDO1JP19Y,"目的探讨DNA甲基化检测在绝经后女性子宫内膜癌筛查中的应用价值。方法选取2020年5月至2021年10月就诊于北京协和医院妇产科、可疑内膜病变、拟行宫腔镜检查的绝经女性143例,术前收集宫颈脱落细胞进行基因甲基化检测。同时收集患者基本临床信息、生物标记物与经阴道超声(TVS)的子宫内膜厚度等。以宫腔镜下内膜组织病理学诊断为金标准,采用多因素logistic回归模型分析子宫内膜癌的相关因素,利用受试者工作特征(ROC)曲线下的面积(AUC)重点分析基因甲基化检测联合或不联合超声检查对绝经后妇女子宫内膜癌的筛查效能。结果143例患者分为内膜癌组(56例)和对照组(87例),年龄分别为(59.27±6.45)和(61.07±8.26)岁(P=0.051)。多因素分析发现,CA125≥35 U/ml、绝经出血、绝经内膜厚度≥5 mm、CDO1甲基化(ΔCt≤8.4)、CELF4甲基化(ΔCt≤8.8)是发生子宫内膜癌的相关因素,OR值(95%CI)分别为33.23(2.51~1335.28)、8.41(1.81~39.05)、14.45(2.35~88.84)、17.34(3.34~89.98)、44.01(6.79~285.25),均P<0.05。双基因甲基化(CDO1ΔCt≤8.4或CELF4ΔCt≤8.8)诊断内膜癌的灵敏度、特异度最高,分别为87.5%(95%CI:75.9%~94.8%)和90.8%(95%CI:82.7%~95.9%)。TVS联合DNA甲基化检测可进一步提高灵敏度,为100.0%(95%CI:93.6%~100.0%),但不能改善特异度,为59.8%(95%CI:48.8%~70.1%)。结论对于绝经后女性宫颈细胞学DNA甲基化筛查内膜癌的准确性优于其他无创临床方案。联合TVS可以改善筛查的敏感性。",中国医学科学院北京协和医院
